db,OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
SILVA,0d984e9d2ef9363d51a20c2f2bb66b29,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Colpodea,Bryometopus,NA
PR2,0d984e9d2ef9363d51a20c2f2bb66b29,NA,Ciliophora,Colpodea,Colpodea_X,Bursariomorphida,Bryometopus,NA
PR2,0ef6a4c48d18c362e91869232d2612fd,NA,Fungi,Microsporidiomycota,Microsporidiomycotina,Microsporidiomycotina_X,NA,NA
PR2,31ab1e9c801601027f2b26ecf9128305,NA,Fungi,Microsporidiomycota,Microsporidiomycotina,Microsporidiomycotina_X,NA,NA
SILVA,3866d75c07eab22c139de0d20b399f1c,Eukaryota,Microsporidia,NA,NA,NA,NA,NA
PR2,4394b9da9aad9c8d4526e63467c10142,NA,Fungi,Microsporidiomycota,Microsporidiomycotina,Microsporidiomycotina_X,NA,NA
SILVA,47b472e069df537344b5b6d36fa5b0a9,Eukaryota,Apicomplexa,Conoidasida,Gregarinasina,NA,BAQA40,NA
PR2,47b472e069df537344b5b6d36fa5b0a9,NA,Apicomplexa,Gregarinomorphea,Gregarines_GRE6,Gregarines_GRE6_X,Gregarines_GRE6_XX,NA
PR2,4a66ebd2ef476f86f9a2dfc6bce12749,NA,Fungi,Microsporidiomycota,Microsporidiomycotina,Microsporidiomycotina_X,NA,NA
RDP,507b2b0c47700d60ae8ba98347885516,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_genus_incertae_sedis,NA
SILVA,507b2b0c47700d60ae8ba98347885516,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
SILVA,7807abc83694efa41770051361db27f3,Eukaryota,Gastrotricha,NA,Chaetonotida,NA,NA,NA
PR2,7807abc83694efa41770051361db27f3,NA,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,NA,NA
SILVA,869e8cd7415cc65cb94766add00beea2,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
PR2,869e8cd7415cc65cb94766add00beea2,NA,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,NA,NA
SILVA,8d51719d52186158080bceb676d381e8,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
PR2,8d51719d52186158080bceb676d381e8,NA,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,NA,NA
SILVA,9f9662f640d2bc67a69ad18e44e5cd15,Eukaryota,Microsporidia,NA,NA,NA,NA,NA
SILVA,cd680c5a4a1e6fb43484cbc39ac0e2fb,Eukaryota,Apicomplexa,Conoidasida,Gregarinasina,NA,BAQA40,NA
PR2,cd680c5a4a1e6fb43484cbc39ac0e2fb,NA,Apicomplexa,Gregarinomorphea,Gregarines_GRE6,Gregarines_GRE6_X,Gregarines_GRE6_XX,NA
PR2,d1732ae106766b039b77109b5f2bc850,NA,Fungi,Microsporidiomycota,Microsporidiomycotina,Microsporidiomycotina_X,NA,NA
SILVA,d1bad05219d6b33bfaad9063a10c28f3,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
SILVA,d34fc1f55f0ff763e6c9aeaab87b9b75,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
PR2,d34fc1f55f0ff763e6c9aeaab87b9b75,NA,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,NA,NA
SILVA,ec83e6e84fe2bd7899e80ab70a3d0002,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
PR2,ec83e6e84fe2bd7899e80ab70a3d0002,NA,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,NA,NA
SILVA,f6f4f64afaec4229021a1aa6e2c5bc80,Eukaryota,Gastrotricha,NA,Chaetonotida,NA,NA,NA
PR2,f6f4f64afaec4229021a1aa6e2c5bc80,NA,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,NA,NA
